"source","destination","status","priority","reason"
"/","/","ready","critical","Canonical home route"
"/copyright.php","/copyright.html","ready","critical","Copyright and licensing page replacement"
"/index.html","/","ready","critical","Legacy home entry point"
"/index.php","/","ready","critical","Legacy home entry point"
"/natural/","/library.html","ready","critical","Old combined Blog and Podcast landing page"
"/privacy.php","/privacy.html","ready","critical","Privacy page replacement"
"/terms.php","/terms.html","ready","critical","Terms page replacement"
"/about.php","/about.html","ready","high","Direct replacement"
"/articles.php","/library/articles/","ready","high","Articles moved to Library"
"/books.php","/library/ebooks/","ready","high","Books moved to Library"
"/contact.php","/contact.html","ready","high","Direct replacement"
"/forum/","https://forum.justonelook.org/","review","high","Confirm whether historical forum paths need preservation"
"/forum/index.php","https://forum.justonelook.org/","review","high","Confirm whether historical forum paths need preservation"
"/jolnews.php","/newsletter.html","review","high","New newsletter page is still a placeholder"
"/natural/2015/02/looking-at-yourself-is-the-essence-of-self-inquiry/","/library/blog/posts/looking-at-yourself-is-the-essence-of-self-inquiry/","ready","high","Matched by blog slug"
"/natural/2015/03/68/","/library/blog/posts/the-power-of-attention/","ready","high","Verified numeric legacy slug by page title and date"
"/natural/2015/03/coming-clean/","/library/blog/posts/coming-clean/","ready","high","Matched by blog slug"
"/natural/2015/03/looking-at-yourself-is-the-essence-of-self-inquiry-2/","/library/blog/posts/looking-at-yourself-is-the-essence-of-self-inquiry-2/","ready","high","Matched by blog slug"
"/natural/2015/06/the-mind/","/library/blog/posts/the-mind/","ready","high","Matched by blog slug"
"/natural/2015/06/the-period-of-recovery/","/library/blog/posts/the-period-of-recovery/","ready","high","Matched by blog slug"
"/natural/2015/07/misidentification/","/library/blog/posts/misidentification/","ready","high","Matched by blog slug"
"/natural/2015/10/whos-to-blame/","/library/blog/posts/whos-to-blame/","ready","high","Matched by blog slug"
"/natural/2015/11/podcast-episode-1-recovering-from-fear/","/library/podcasts/episodes/recovering-from-fear/","ready","high","Matched by podcast episode number"
"/natural/2015/12/a-liberating-insight/","/library/blog/posts/a-liberating-insight/","ready","high","Matched by blog slug"
"/natural/2015/12/podcast-episode-2-whos-to-blame/","/library/podcasts/episodes/whos-to-blame/","ready","high","Matched by podcast episode number"
"/natural/2016/01/just-one-look-is-all-it-takes/","/library/blog/posts/just-one-look-is-all-it-takes/","ready","high","Matched by blog slug"
"/natural/2016/01/podcast-episode-3-self-directed-attention/","/library/podcasts/episodes/the-power-of-attention/","ready","high","Matched by podcast episode number"
"/natural/2016/01/the-nature-of-belief/","/library/blog/posts/the-nature-of-belief/","ready","high","Matched by blog slug"
"/natural/2016/02/podcast-episode-4-from-satsang-to-just-one-look/","/library/podcasts/episodes/from-satsang-to-just-one-look/","ready","high","Matched by podcast episode number"
"/natural/2016/04/podcast-episode-5-looking-at-yourself-is-the-key/","/library/podcasts/episodes/looking-at-yourself-is-the-key/","ready","high","Matched by podcast episode number"
"/natural/2016/04/podcast-episode-6-an-interview-with-john-sherman/","/library/podcasts/episodes/an-interview-with-john-sherman/","ready","high","Matched by podcast episode number"
"/natural/2016/05/podcast-episode-7-self-directed-attention-and-mindfulness/","/library/podcasts/episodes/self-directed-attention-and-mindfulness/","ready","high","Matched by podcast episode number"
"/natural/2016/05/podcast-episode-8-surviving-recovery/","/library/podcasts/episodes/surviving-recovery/","ready","high","Matched by podcast episode number"
"/natural/2016/07/podcast-episode-9-walking-wounded/","/library/podcasts/episodes/walking-wounded/","ready","high","Matched by podcast episode number"
"/natural/2016/07/the-difference-between-self-directed-attention-and-mindfulness-meditation/","/library/blog/posts/the-difference-between-self-directed-attention-and-mindfulness-meditation/","ready","high","Matched by blog slug"
"/natural/2016/08/podcast-episode-10-an-interview-with-john-sherman/","/library/podcasts/episodes/an-interview-with-john-sherman-episode-10/","ready","high","Matched by podcast episode number"
"/natural/2016/09/podcast-episode-11-the-importance-of-self-directed-attention/","/library/podcasts/episodes/the-importance-of-self-directed-attention/","ready","high","Matched by podcast episode number"
"/natural/2016/10/podcast-episode-12-attention-is-the-key/","/library/podcasts/episodes/attention-is-the-key/","ready","high","Matched by podcast episode number"
"/natural/2016/11/podcast-episode-13-what-to-do-after-the-looking/","/library/podcasts/episodes/what-to-do-after-the-looking/","ready","high","Matched by podcast episode number"
"/natural/2016/12/podcast-episode-14-you-can-change-your-mind/","/library/podcasts/episodes/you-can-change-your-mind/","ready","high","Matched by podcast episode number"
"/natural/2016/12/these-times/","/library/blog/posts/these-times/","ready","high","Matched by blog slug"
"/natural/2017/01/mind-matters/","/library/podcasts/episodes/mind-matters/","ready","high","Verified legacy Episode 15 title and date"
"/natural/2017/02/podcast-episode-16-hard-times/","/library/podcasts/episodes/hard-times/","ready","high","Matched by podcast episode number"
"/natural/2017/03/podcast-episode-17-lets-not-throw-away-our-shot/","/library/podcasts/episodes/lets-not-throw-away-our-shot/","ready","high","Matched by podcast episode number"
"/natural/2017/03/why-practice-self-directed-attention/","/library/blog/posts/why-practice-self-directed-attention/","ready","high","Matched by blog slug"
"/natural/2017/04/podcast-episode-18-the-brain-the-mind-the-fear/","/library/podcasts/episodes/the-brain-the-mind-the-fear/","ready","high","Matched by podcast episode number"
"/natural/2017/04/the-state-of-the-world/","/library/blog/posts/the-state-of-the-world/","ready","high","Matched by blog slug"
"/natural/2017/05/podcast-episode-19-a-free-mind-is-an-open-mind/","/library/podcasts/episodes/a-free-mind-is-an-open-mind/","ready","high","Matched by podcast episode number"
"/natural/2017/06/podcast-episode-20-our-journey-with-you-so-far/","/library/podcasts/episodes/our-journey-with-you-so-far/","ready","high","Matched by podcast episode number"
"/natural/2017/06/spiritual-understanding/","/library/blog/posts/spiritual-understanding/","ready","high","Matched by blog slug"
"/natural/2017/07/podcast-episode-21-just-one-look-and-self-inquiry/","/library/podcasts/episodes/just-one-look-and-self-inquiry/","ready","high","Matched by podcast episode number"
"/natural/2017/07/what-is-self-directed-attention/","/library/blog/posts/what-is-self-directed-attention/","ready","high","Matched by blog slug"
"/natural/2017/08/podcast-episode-22-what-does-it-feel-like-to-be-you/","/library/podcasts/episodes/what-does-it-feel-like-to-be-you/","ready","high","Matched by podcast episode number"
"/natural/2017/09/first-do-no-harm/","/library/blog/posts/first-do-no-harm/","ready","high","Matched by blog slug"
"/natural/2017/09/the-search-for-identity-is-a-call-for-self-inquiry/","/library/blog/posts/the-search-for-identity-is-a-call-for-self-inquiry/","ready","high","Matched by blog slug"
"/natural/2017/10/podcast-episode-24-a-natural-human-life/","/library/podcasts/episodes/a-natural-human-life/","ready","high","Matched by podcast episode number"
"/natural/2017/11/understanding-the-fear-of-life/","/library/blog/posts/understanding-the-fear-of-life/","ready","high","Matched by blog slug"
"/natural/2017/12/podcast-episode-25-the-worry-monster/","/library/podcasts/episodes/the-worry-monster/","ready","high","Matched by podcast episode number"
"/natural/2017/12/what-do-you-really-want/","/library/blog/posts/what-do-you-really-want/","ready","high","Matched by blog slug"
"/natural/2018/01/expectations/","/library/blog/posts/expectations/","ready","high","Matched by blog slug"
"/natural/2018/01/podcast-episode-23-are-you-in-recovery-repost/","/library/podcasts/episodes/are-you-in-recovery/","ready","high","Matched by podcast episode number"
"/natural/2018/02/everybody-is-just-like-you/","/library/blog/posts/everybody-is-just-like-you/","ready","high","Matched by blog slug"
"/natural/2018/02/podcast-episode-26-self-inquiry-unbound/","/library/podcasts/episodes/self-inquiry-unbound/","ready","high","Matched by podcast episode number"
"/natural/2018/04/podcast-episode-27-you-have-to-do-it/","/library/podcasts/episodes/you-have-to-do-it/","ready","high","Matched by podcast episode number"
"/natural/2018/05/new-book-the-just-one-look-method/","/library/blog/posts/new-book-the-just-one-look-method/","ready","high","Matched by blog slug"
"/natural/2018/06/podcast-episode-28-self-directed-attention-unbound/","/library/podcasts/episodes/self-directed-attention-unbound/","ready","high","Matched by podcast episode number"
"/natural/2018/08/what-makes-our-work-different/","/library/blog/posts/what-makes-our-work-different/","ready","high","Matched by blog slug"
"/natural/2018/09/naked-and-afraid/","/library/blog/posts/naked-and-afraid/","ready","high","Matched by blog slug"
"/natural/2018/09/podcast-episode-29-what-is-just-one-look/","/library/podcasts/episodes/what-is-just-one-look/","ready","high","Matched by podcast episode number"
"/natural/2018/10/about-expectations/","/library/blog/posts/about-expectations/","ready","high","Matched by blog slug"
"/natural/2018/10/mindfulness/","/library/blog/posts/mindfulness/","ready","high","Matched by blog slug"
